date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,evaluation_year,training_start,training_through,selected_c,calibration_slope,current_82_probability,robust_82_probability,correlation_pruned_probability,selected_baseline_probability,selected_plus_derived_probability,elastic_full_pool_probability,svd_full_pool_probability
2022-02-19,77940e45bc86208e,25da52bc590ef664,436f970c9ea9169c,ffe9703408fb5964,Gabriel Benitez,David Onama,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.333047747558516,0.326805805241384,0.339482829314903,0.343257891821578,0.377854394404122,0.368886027585151,0.348622302336835
2022-02-19,77940e45bc86208e,2d8db91f91f68069,4bd6b4800070b069,ef1182eb28c17d4e,Chas Skelly,Mark Striegl,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.519747988671306,0.499771732292981,0.449880472979418,0.553840928867978,0.544314193902269,0.541908726728008,0.571047877716223
2022-02-19,77940e45bc86208e,33cc40fc1da409d3,5dd180c8b3196786,d7e40dca3ae125be,Gloria de Paula,Diana Belbita,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.414899504193014,0.42278580880167,0.431026164683717,0.4177269154562,0.421557196204373,0.416853733761118,0.445484658463672
2022-02-19,77940e45bc86208e,528c208293bdef13,5ec591b78349ba7e,87c0b1c696ddfb43,Christian Rodriguez,Jonathan Pearce,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.386573481036791,0.388924406104574,0.395797660500349,0.382539023434546,0.390392871816434,0.379220081372859,0.400681644529926
2022-02-19,77940e45bc86208e,8cd583f6d10692bc,01fed6f61ebea01f,bc711b6dd95c1af6,Jay Perrin,Mario Bautista,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.48514334658682,0.482159740991474,0.495042134290992,0.47713922208711,0.4916874203322,0.503217218763733,0.503111771578593
2022-02-19,77940e45bc86208e,93026443e5140415,ac40f7e3cbecdda4,c9a94278df042f46,Parker Porter,Alan Baudot,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.414813887234825,0.39670959532078,0.387696090771475,0.423809221529036,0.486520974707067,0.458001894966307,0.47601633163732
2022-02-19,77940e45bc86208e,958799d957945a3a,37f560436d745c18,d1941565abf50b16,Nikolas Motta,Jim Miller,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.53389052572671,0.534089060081433,0.53639173701612,0.487819281987635,0.493265988933799,0.504779862442153,0.475160643494762
2022-02-19,77940e45bc86208e,99fd8396cbe1df03,830f60497fab345a,d6c0cdd7e467c440,Jamie Pickett,Kyle Daukaus,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.371888473287078,0.366641140021487,0.361953163905384,0.373565248452034,0.30666467434031,0.336244909978344,0.320183505430573
2022-02-19,77940e45bc86208e,e36a5d4d53b97d4e,5e6294b37bbef029,6c8072b61c276e67,Stephanie Egger,Jessica-Rose Clark,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.501841896685238,0.518752256149072,0.538426036201224,0.495808771900912,0.515865844475565,0.523506099390927,0.463151635991841
2022-02-19,77940e45bc86208e,ea63f56779100678,8c39367b53eadf8a,c7c39e2fb70248b3,Jesse Strader,Chad Anheliger,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.541894226161952,0.560193580694198,0.572297988280376,0.539638109270517,0.542646280613496,0.545243965180921,0.506914002919466
