date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,evaluation_year,training_start,training_through,selected_c,calibration_slope,current_model_probability,selected_rankings_probability,all_rankings_probability,expanded_history_probability,expanded_history_features_changed,expanded_history_all_rankings_probability,market_probability,book_count,fixed_equal_logit_blend_probability,blend_probability,blend_status,selected_gamma
2022-02-19,77940e45bc86208e,99fd8396cbe1df03,830f60497fab345a,d6c0cdd7e467c440,Jamie Pickett,Kyle Daukaus,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.371888473287078,0.374236652112733,0.396040758647259,0.394774185562786,True,0.410847440467406,,,,,,
2022-02-19,77940e45bc86208e,e36a5d4d53b97d4e,5e6294b37bbef029,6c8072b61c276e67,Stephanie Egger,Jessica-Rose Clark,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.501841896685238,0.504159117763391,0.467111895666418,0.506273732834258,True,0.473247107812216,,,,,,
2022-02-19,77940e45bc86208e,ea63f56779100678,8c39367b53eadf8a,c7c39e2fb70248b3,Jesse Strader,Chad Anheliger,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.541894226161952,0.541873804756878,0.528983396510425,0.445269074950538,True,0.435711978467588,,,,,,
2022-02-19,77940e45bc86208e,f7865e5a6d009a87,5444c5a201d3ee5a,c21f26bbde777573,Jamahal Hill,Johnny Walker,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.53235753064908,0.530135839694402,0.51456967943724,0.547866928168881,True,0.519303631078933,,,,,,
2022-02-26,f6a7b02c42e9fc5b,01468f766dd7385c,4dcfb28c011c11b2,67f272324a030d00,Wellington Turman,Misha Cirkunov,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.379267171333839,0.382383149935793,0.374126580383342,0.363930241052965,True,0.358206971637473,,,,,,
2022-02-26,f6a7b02c42e9fc5b,181ceedcacc01d48,798e48f9e7f6ba22,dc7927cd622676a7,Carlos Hernandez,Victor Altamirano,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.510673105588553,0.51083953692399,0.510473918991522,0.635430022078579,True,0.624344054380597,,,,,,
2022-02-26,f6a7b02c42e9fc5b,2f4d42e0b9696f71,275aca31f61ba28c,887961364be5ceb3,Islam Makhachev,King Green,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.791494530328016,0.78428685028282,0.835092178683027,0.768375361915294,True,0.822674339440796,,,,,,
2022-02-26,f6a7b02c42e9fc5b,61a20ff34b6948ba,a13d755965a4ec9f,e4a47b07044ddd72,Rongzhu,Ignacio Bahamondes,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.435802947475406,0.438341174597692,0.463632830402274,0.476784882115001,True,0.497632584226262,,,,,,
2022-02-26,f6a7b02c42e9fc5b,84d633d4a9fbf331,369ea36e450ae62a,d1c65d2cf2925ddd,Armen Petrosyan,Gregory Rodrigues,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.252545685036395,0.255349449575752,0.276290720587404,0.232114635480664,True,0.252141254283937,,,,,,
2022-02-26,f6a7b02c42e9fc5b,8515f07911765f89,58bbef3770bb2dfc,eae48ff31db420c2,Joel Alvarez,Arman Tsarukyan,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.265102269984591,0.269071532676571,0.250641372306297,0.255342240117328,True,0.234434342557846,,,,,,
