date,fight_url,event_url,fighter_url,opponent_url,fighter,opponent,result,method,division,round,time,time_format,total_fight_time,source_card_index,bout_order,emit_training_target,history_source,knockdowns,sig_strikes_landed,sig_strikes_attempts,total_strikes_landed,total_strikes_attempts,takedowns_landed,takedowns_attempts,sub_attempts,reversals,control
2009-04-10,https://external-mma.invalid/fight-details/external_45f3cb99f4d456f238b07af2451b9a9e,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/external_ced26f7b755a83d0248556d6,https://external-mma.invalid/fighter-details/external_a2f072cda81498c708a4449a,Chris Simmons,Josh LaBerge,L,U-DEC,Unknown,3.0,,,,0,8,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_45f3cb99f4d456f238b07af2451b9a9e,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/external_a2f072cda81498c708a4449a,https://external-mma.invalid/fighter-details/external_ced26f7b755a83d0248556d6,Josh LaBerge,Chris Simmons,W,U-DEC,Unknown,3.0,,,,0,8,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_49702fcfa4f79a8ddd2391811f4a58a4,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_6104ecc15396a1bc7a8af493,https://external-mma.invalid/fighter-details/external_83f965766a84981786a093d1,Bill Albrecht,Mike Messina,W,KO/TKO,Unknown,2.0,,,,10,0,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_49702fcfa4f79a8ddd2391811f4a58a4,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_83f965766a84981786a093d1,https://external-mma.invalid/fighter-details/external_6104ecc15396a1bc7a8af493,Mike Messina,Bill Albrecht,L,KO/TKO,Unknown,2.0,,,,10,0,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_c51caeee95992ab5cbd07159d5de9b56,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_c7996d0b5469d2b0e10c27fa,https://external-mma.invalid/fighter-details/528c24b99fbaab79,Donald Sanchez,Johnny Eduardo,L,U-DEC,Unknown,3.0,,,,9,1,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_c51caeee95992ab5cbd07159d5de9b56,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/528c24b99fbaab79,https://external-mma.invalid/fighter-details/external_c7996d0b5469d2b0e10c27fa,Johnny Eduardo,Donald Sanchez,W,U-DEC,Unknown,3.0,,,,9,1,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_6dc33963c6cd7959bc650df2714af5d2,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_0c04b84b79d6646c48b2b689,https://external-mma.invalid/fighter-details/external_18ddd3bdd30cd71c404257f6,Joey Gorczynski,Marcelo Alfaya,L,KO/TKO,Unknown,1.0,,,,8,2,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_6dc33963c6cd7959bc650df2714af5d2,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_18ddd3bdd30cd71c404257f6,https://external-mma.invalid/fighter-details/external_0c04b84b79d6646c48b2b689,Marcelo Alfaya,Joey Gorczynski,W,KO/TKO,Unknown,1.0,,,,8,2,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_ee74787257b40fdc859cc04715c19a07,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_eef2c3979712c18c5c582ce8,https://external-mma.invalid/fighter-details/external_b3c5caf5a1ea855aa5479a57,Amedeo Viola,Tyler East,L,KO/TKO,Unknown,1.0,,,,7,3,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-17,https://external-mma.invalid/fight-details/external_ee74787257b40fdc859cc04715c19a07,https://external-mma.invalid/event-details/external_a403f769a3736da40fff99f347b72caa,https://external-mma.invalid/fighter-details/external_b3c5caf5a1ea855aa5479a57,https://external-mma.invalid/fighter-details/external_eef2c3979712c18c5c582ce8,Tyler East,Amedeo Viola,W,KO/TKO,Unknown,1.0,,,,7,3,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
