timing,market,staking,payout_reduction,selected_records,shown_settled_records,funded_settled_bets,pending_records,unsupported_records,funded_wins,funded_losses,settled_events,initial_bankroll,ending_bankroll,bankroll_growth,risk_units,profit_units,roi,maximum_drawdown_fraction
official_t24,Total rounds,half_kelly_model_sim_blend,0.05,0,0,0,0,0,0,0,0,100,100,0,0,0,,0
first_qualifying,All,full_kelly,0,28,15,15,13,0,4,11,2,100,95.33049220017935,-0.04669507799820649,100.00000000000001,-4.66950779982065,-0.04669507799820649,0.0466950779982065
first_qualifying,All,full_kelly,0.02,28,15,15,13,0,4,11,2,100,93.94157444156943,-0.06058425558430569,100.00000000000001,-6.058425558430571,-0.0605842555843057,0.06058425558430571
first_qualifying,All,full_kelly,0.05,28,15,15,13,0,4,11,2,100,91.85819780365453,-0.08141802196345471,100.00000000000001,-8.141802196345466,-0.08141802196345466,0.08141802196345466
first_qualifying,All,half_kelly,0,28,15,15,13,0,4,11,2,100,96.5534880222839,-0.034465119777161046,100,-3.4465119777160993,-0.03446511977716099,0.03446511977716099
first_qualifying,All,half_kelly,0.02,28,15,15,13,0,4,11,2,100,95.1467518240874,-0.048532481759125945,100,-4.853248175912597,-0.04853248175912597,0.04853248175912597
first_qualifying,All,half_kelly,0.05,28,15,15,13,0,4,11,2,100,93.03664752679266,-0.0696335247320734,100,-6.963352473207337,-0.06963352473207336,0.06963352473207336
first_qualifying,All,third_kelly,0,28,15,15,13,0,4,11,2,100,96.96115329631876,-0.030388467036812417,100,-3.0388467036812443,-0.030388467036812444,0.030388467036812444
first_qualifying,All,third_kelly,0.02,28,15,15,13,0,4,11,2,100,95.54847761826005,-0.044515223817399474,100,-4.451522381739949,-0.04451522381739949,0.04451522381739949
first_qualifying,All,third_kelly,0.05,28,15,15,13,0,4,11,2,100,93.42946410117202,-0.0657053589882799,100,-6.570535898827984,-0.06570535898827984,0.06570535898827984
first_qualifying,All,flat_one_percent,0,28,15,15,13,0,4,11,2,100,100.9792,0.009792000000000023,14.740000000000004,0.9792000000000058,0.06643147896879278,0.02
first_qualifying,All,flat_one_percent,0.02,28,15,15,13,0,4,11,2,100,100.743216,0.007432160000000021,14.740000000000004,0.7432160000000039,0.05042170963365018,0.02
first_qualifying,All,flat_one_percent,0.05,28,15,15,13,0,4,11,2,100,100.38924,0.003892400000000018,14.740000000000004,0.3892400000000009,0.026407055630936285,0.02
first_qualifying,All,robust_bayesian_kelly,0,28,4,0,2,22,0,0,2,100,100,0,0,0,,0
first_qualifying,All,robust_bayesian_kelly,0.02,28,4,0,2,22,0,0,2,100,100,0,0,0,,0
first_qualifying,All,robust_bayesian_kelly,0.05,28,4,0,2,22,0,0,2,100,100,0,0,0,,0
first_qualifying,All,half_kelly_model_blend,0,28,4,4,0,24,1,3,2,100,98.91530642956599,-0.010846935704340144,18.467037812806648,-1.0846935704340126,-0.05873673847582593,0.1302511881533283
first_qualifying,All,half_kelly_model_blend,0.02,28,4,4,0,24,1,3,2,100,98.62560069219312,-0.013743993078068839,18.467037812806648,-1.3743993078068826,-0.07442445950122843,0.1302511881533283
first_qualifying,All,half_kelly_model_blend,0.05,28,4,4,0,24,1,3,2,100,98.1910420861338,-0.018089579138661938,18.467037812806648,-1.8089579138661946,-0.09795604103933259,0.1302511881533283
first_qualifying,All,half_kelly_sim_blend,0,28,5,4,0,23,1,3,1,100,122.26905523389306,0.22269055233893065,37.7944340867379,22.269055233893056,0.5892152051486144,0
first_qualifying,All,half_kelly_sim_blend,0.02,28,5,4,0,23,1,3,1,100,121.2679970785492,0.21267997078549206,37.7944340867379,21.2679970785492,0.5627282850628039,0
