bet_id,matchup_id,category,selection,published_book,available_book,offered_moneyline,estimated_win_probability,estimated_expected_return,threshold_met,comparison_book_count,source_quote_updated_at_utc,different_from_published_book,eligibility_basis
abe041c4a5d487cc2ea441e19818c4815a88c09f38b2b1eb7cfc3e0cdeb45063,matchup_41ba239087a241674fcd8f74181fb92a25ca542b10d45301b7c21c7489209f99,Moneyline,Tai Tuivasa,BetOnline.ag,BetRivers,400,0.1834822540195663,-0.08258872990216848,False,6,2026-09-04T17:26:16.000000Z,True,same published selection; fresh saved prices; raw policy EV
abe041c4a5d487cc2ea441e19818c4815a88c09f38b2b1eb7cfc3e0cdeb45063,matchup_41ba239087a241674fcd8f74181fb92a25ca542b10d45301b7c21c7489209f99,Moneyline,Tai Tuivasa,BetOnline.ag,DraftKings,470,0.18701729922127816,0.06599860556128556,True,6,2026-09-04T17:26:15.000000Z,True,same published selection; fresh saved prices; raw policy EV
abe041c4a5d487cc2ea441e19818c4815a88c09f38b2b1eb7cfc3e0cdeb45063,matchup_41ba239087a241674fcd8f74181fb92a25ca542b10d45301b7c21c7489209f99,Moneyline,Tai Tuivasa,BetOnline.ag,FanDuel,360,0.18085141028702764,-0.16808351267967292,False,6,2026-09-04T17:26:15.000000Z,True,same published selection; fresh saved prices; raw policy EV
abe041c4a5d487cc2ea441e19818c4815a88c09f38b2b1eb7cfc3e0cdeb45063,matchup_41ba239087a241674fcd8f74181fb92a25ca542b10d45301b7c21c7489209f99,Moneyline,Tai Tuivasa,BetOnline.ag,Hard Rock Bet,400,0.18354412908144135,-0.08227935459279323,False,6,2026-09-04T17:26:40.000000Z,True,same published selection; fresh saved prices; raw policy EV
058ea659efe422b41644d3452eea06c1b9ac951df179d79f0edf00efae571dcc,matchup_59d3204bd6591089d45ebe3e85e99fc60ec6d3301eb3884ceb1d0451d9599614,Total rounds,Under 2.5 rounds,BetOnline.ag,DraftKings,175,0.39214956654142863,0.07841130798892881,True,4,2026-09-04T17:26:15.000000Z,True,same published selection; fresh saved prices; raw policy EV
058ea659efe422b41644d3452eea06c1b9ac951df179d79f0edf00efae571dcc,matchup_59d3204bd6591089d45ebe3e85e99fc60ec6d3301eb3884ceb1d0451d9599614,Total rounds,Under 2.5 rounds,BetOnline.ag,BetUS,186,0.39214956654142863,0.12154776030848602,True,4,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
058ea659efe422b41644d3452eea06c1b9ac951df179d79f0edf00efae571dcc,matchup_59d3204bd6591089d45ebe3e85e99fc60ec6d3301eb3884ceb1d0451d9599614,Total rounds,Under 2.5 rounds,BetOnline.ag,Bovada,175,0.39214956654142863,0.07841130798892881,True,4,2026-09-04T17:23:47.000000Z,True,same published selection; fresh saved prices; raw policy EV
058ea659efe422b41644d3452eea06c1b9ac951df179d79f0edf00efae571dcc,matchup_59d3204bd6591089d45ebe3e85e99fc60ec6d3301eb3884ceb1d0451d9599614,Total rounds,Under 2.5 rounds,BetOnline.ag,BetOnline.ag,189,0.39214956654142863,0.13331224730472857,True,4,2026-09-04T17:26:25.000000Z,False,same published selection; fresh saved prices; raw policy EV
058ea659efe422b41644d3452eea06c1b9ac951df179d79f0edf00efae571dcc,matchup_59d3204bd6591089d45ebe3e85e99fc60ec6d3301eb3884ceb1d0451d9599614,Total rounds,Under 2.5 rounds,BetOnline.ag,BetAnything,170,0.39214956654142863,0.058803829661857376,True,4,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
1fe3ca51c194ae7e6e64d695639986d5d96396bec6cac1b3ada7281e22996064,matchup_a98b162dd2ff1d5415a572a5a20b0f37599fc71cd28b0ac30b961720373d1199,Total rounds,Under 2.5 rounds,Bovada,BetOnline.ag,124,0.47107138907760415,0.0551999115338333,True,4,2026-09-04T17:26:25.000000Z,True,same published selection; fresh saved prices; raw policy EV
1fe3ca51c194ae7e6e64d695639986d5d96396bec6cac1b3ada7281e22996064,matchup_a98b162dd2ff1d5415a572a5a20b0f37599fc71cd28b0ac30b961720373d1199,Total rounds,Under 2.5 rounds,Bovada,Bovada,125,0.47107138907760415,0.05991062542460934,True,4,2026-09-04T17:23:47.000000Z,False,same published selection; fresh saved prices; raw policy EV
1fe3ca51c194ae7e6e64d695639986d5d96396bec6cac1b3ada7281e22996064,matchup_a98b162dd2ff1d5415a572a5a20b0f37599fc71cd28b0ac30b961720373d1199,Total rounds,Under 2.5 rounds,Bovada,BetAnything,115,0.47107138907760415,0.012803486516848928,False,4,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
1fe3ca51c194ae7e6e64d695639986d5d96396bec6cac1b3ada7281e22996064,matchup_a98b162dd2ff1d5415a572a5a20b0f37599fc71cd28b0ac30b961720373d1199,Total rounds,Under 2.5 rounds,Bovada,DraftKings,124,0.47107138907760415,0.0551999115338333,True,4,2026-09-04T17:26:15.000000Z,True,same published selection; fresh saved prices; raw policy EV
1fe3ca51c194ae7e6e64d695639986d5d96396bec6cac1b3ada7281e22996064,matchup_a98b162dd2ff1d5415a572a5a20b0f37599fc71cd28b0ac30b961720373d1199,Total rounds,Under 2.5 rounds,Bovada,BetUS,122,0.47107138907760415,0.045778483752280996,False,4,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
