surface,matchup_id,selection,book,moneyline,estimated_probability,estimated_expected_return,observed_at_utc,comparison_only,on_qualified_board,price_contract_complete,settlement_status,paper_action
method_price_comparison,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Kurtis Campbell by SUBMISSION,BetRivers,260,0.12589599190857367,-0.5467744291291348,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Kurtis Campbell by DECISION,BetRivers,235,0.39565830338776764,0.3254553163490217,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Kurtis Campbell by KO/TKO,FanDuel,240,0.08134446521809259,-0.7234288182584852,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Kurtis Campbell by SUBMISSION,FanDuel,260,0.12589599190857367,-0.5467744291291348,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Kurtis Campbell by DECISION,FanDuel,250,0.39565830338776764,0.38480406185718685,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Kurtis Campbell by KO/TKO,Unibet,245,0.08134446521809259,-0.7193615949975806,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Kurtis Campbell by SUBMISSION,Unibet,260,0.12589599190857367,-0.5467744291291348,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Kurtis Campbell by DECISION,Unibet,235,0.39565830338776764,0.3254553163490217,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_efceb8a2cf0faca403b487b7f86a45ed53496d69cfb44431d1fce10df1751431,Losene Keita by KO/TKO,BetRivers,102,0.3151026187018672,-0.3634927102222283,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_efceb8a2cf0faca403b487b7f86a45ed53496d69cfb44431d1fce10df1751431,Losene Keita by SUBMISSION,BetRivers,1700,0.10305886886044643,0.8550596394880359,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
